Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	38.586662	1.8489774	40.988804	36.651585	1000.0	1.5733571	3.1581986	23.843002	-0.7227657	112000	5.00679e-09	0.19597651	-0.009576182	-0.031293467	0.7549978	0.0051878667	0.0445	79.0	69.69249773025513
28	40.382645	0.56448823	40.986744	39.50272	1000.0	1.496386	2.95977	23.99152	-1.1974572	116000	-6.7353247e-09	0.20051919	-0.009044896	-0.07981446	0.74813795	0.0072990735	0.059	79.0	72.77684664726257
29	40.121586	0.42466554	40.82124	39.746475	1000.0	1.5479575	3.0302737	24.47056	-0.7088354	120000	-3.5762786e-09	0.12885727	-0.0107430555	-0.03903371	0.72571397	0.004277161	0.05625	79.0	75.54370021820068
30	38.676666	0.932753	39.7263	37.275093	1000.0	1.8059299	3.1332836	25.217525	0.07094136	124000	1.07288365e-08	0.14249474	-0.009468458	-0.06270123	0.71944445	0.0047041597	0.04675	79.0	78.43125414848328
31	39.886635	2.4589994	42.16889	35.75202	1000.0	1.40382	3.0576057	24.638817	-2.4731736	128000	1.9073487e-09	0.28562486	-0.012360872	-0.14898857	0.7097909	0.0014486928	0.05925	79.0	81.36497139930725
32	39.36536	1.6032411	41.197342	36.832104	1000.0	1.8078938	3.1418602	25.308897	-0.42148554	132000	-1.513958e-08	0.21145578	0.0026262468	-0.10699936	0.6923624	0.020808628	0.30175	2.0	83.65819525718689
33	38.014133	0.8013335	38.956642	36.848682	1000.0	1.4253964	3.0059075	24.838009	-0.7411825	136000	-7.390976e-09	0.10190363	-0.010628728	-0.013304859	0.69204164	0.009310995	0.05825	79.0	86.47732496261597
34	40.77221	2.170284	43.187504	38.502205	1000.0	1.5428252	3.0988865	24.647982	-0.7057948	140000	2.9802322e-10	0.19981174	-0.010961725	-0.07882512	0.68870044	0.008004093	0.0715	79.0	89.0927324295044
35	39.547585	1.5313491	41.68443	37.353874	1000.0	1.4865378	3.4421268	25.882551	-1.6568514	144000	2.861023e-09	0.1690497	-0.010762778	-0.047364242	0.65888613	0.0024036465	0.05	79.0	92.05074739456177
36	39.959	1.7960309	41.74884	37.530434	1000.0	1.5697021	3.1673634	25.85131	-0.76975834	148000	8.5830685e-09	0.104245566	-0.007675468	-0.017204918	0.64159817	0.00471909	0.0315	79.0	94.5934042930603
37	38.06305	0.9890051	39.48364	36.700756	1000.0	1.6243421	3.2409787	25.469921	-1.3166803	152000	2.360344e-08	0.13397522	-0.011411213	-0.03680385	0.64398724	0.006886991	0.05725	79.0	97.43238139152527
38	35.592537	4.7000666	40.117023	27.732128	1000.0	7.6645827	10.823754	25.837309	-0.96179485	156000	-5.5730343e-08	134.42847	-0.0056284107	-127.439064	0.6517124	0.0013842074	0.027	79.0	100.11514163017273
39	39.10773	1.3248733	40.720154	37.410366	1000.0	1.3827652	2.7273448	18.5652	-2.6775572	160000	-4.2915342e-09	0.8713125	-0.013011406	-0.3551972	0.6464851	0.0064485497	0.08875	79.0	103.05378937721252
40	39.653713	0.34268084	40.010777	39.138718	1000.0	1.545821	2.8013155	19.801641	-0.62096953	164000	1.9073487e-09	0.41116554	-0.012423119	-0.084525645	0.63762844	0.0041720443	0.06775	79.0	106.26558661460876
41	38.580555	0.8836346	39.981983	37.580383	1000.0	1.5973938	2.7858145	20.328997	-0.41779417	168000	-4.2915342e-09	0.3201391	-0.009098095	-0.06322071	0.6216799	0.004645275	0.04625	79.0	108.91350936889648
42	39.735535	1.0413287	40.641075	37.96306	1000.0	1.3358026	2.797166	20.74977	-0.8299503	172000	-3.8146974e-09	0.47394982	-0.008856422	-0.16393417	0.60861975	0.005896967	0.05475	79.0	111.56155705451965
43	39.94269	1.1602858	41.884964	38.982037	1000.0	1.5847005	2.980706	21.358057	-0.36691576	176000	4.768372e-10	0.35494635	-0.010042437	-0.11053622	0.5864377	0.004538033	0.04275	79.0	114.23263049125671
44	39.789196	1.780281	42.673584	37.805035	1000.0	1.5830742	2.864546	21.830946	-0.4520303	180000	-1.1920929e-09	0.21832792	-0.009334035	-0.040191263	0.56799376	0.003082612	0.036	79.0	117.31998896598816
45	41.373184	1.976597	43.635635	38.335663	1000.0	1.5714152	2.9941022	22.230112	-0.12869504	184000	2.3841857e-09	0.2882376	-0.012694924	-0.06705947	0.54197603	0.0037856475	0.04175	79.0	120.51605772972107
46	40.099483	1.235947	41.900356	38.615055	1000.0	1.7631093	3.075711	22.738026	-0.09598805	188000	-1.0490417e-08	0.1623651	-0.012570122	-0.04068231	0.53682387	0.005450455	0.08425	79.0	123.73238396644592
47	41.270035	0.9280583	42.806114	40.426823	1000.0	1.5397036	3.0270722	22.998922	-0.4132737	192000	6.198883e-09	0.20126654	-0.008921926	-0.05266635	0.5110273	0.0022993255	0.04025	79.0	126.80710434913635
48	40.48687	1.1633325	42.24515	39.270252	1000.0	1.6799202	3.1751292	23.390623	-0.7747368	196000	-4.2915342e-09	0.16677836	-0.011366608	-0.027884945	0.49920604	0.0077980426	0.05075	79.0	129.47253155708313
