Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-40.622	75.9365	30.323067	-444.10022	104.789474	-23.264563	10.36211	9.0059185	-38.681038	112000	-5.9604643e-10	365.5782	-0.011493258	-93.86395	0.83555335	0.015555649	0.2105	8.0	117.44366359710693
28	-77.86929	127.50287	18.97084	-377.96613	234.52942	-30.725592	8.950956	15.246797	-38.838245	116000	7.2717667e-09	186.60783	-0.013933678	-58.89605	0.83387816	0.015429681	0.20575	7.0	121.17319512367249
29	-46.91058	86.66195	28.727522	-353.03134	138.28572	-25.48456	11.822279	6.806875	-38.454308	120000	-4.529953e-09	276.4604	-0.0126603795	-64.59674	0.8323594	0.01694232	0.21075	7.0	125.43909406661987
30	-112.12012	147.68335	-2.9287379	-429.91098	322.91666	-28.165808	9.3278475	16.355764	-38.103764	124000	7.152557e-09	129.28963	-0.015568819	-38.5506	0.830533	0.015657378	0.22975	10.0	130.28668689727783
31	-86.62236	128.58821	10.310991	-399.02713	234.46666	-28.660936	9.116052	8.913194	-37.67072	128000	2.1457671e-09	133.64029	-0.015093954	-30.690865	0.8274244	0.015779722	0.217	8.0	134.034903049469
32	-47.50985	76.237785	9.096739	-298.5196	131.34616	-28.046991	10.090139	9.86737	-37.83481	132000	-1.0967255e-08	138.10286	-0.012257747	-42.170097	0.82479686	0.015581003	0.22625	8.0	138.73817944526672
33	-17.633621	46.337532	74.35474	-245.88731	92.3421	-20.171116	9.860513	22.692282	-36.482914	136000	1.6510487e-08	311.8695	-0.049813647	-100.2343	0.8222061	0.011054672	0.21875	79.0	143.50783586502075
34	-87.50455	131.19606	43.013412	-364.26544	260.75	-22.995579	11.319943	10.779847	-36.201256	140000	1.9788741e-08	305.34982	-0.016293244	-150.091	0.81326985	0.015075249	0.2465	11.0	148.242116689682
35	-37.901474	70.748344	11.660505	-303.03195	147.85185	-27.436636	9.614416	8.937414	-36.977795	144000	7.152557e-09	210.10457	-0.016027566	-81.31076	0.81147873	0.015452196	0.2615	10.0	152.0185375213623
36	-30.715029	78.76349	34.837223	-405.06546	115.96154	-19.642008	9.498589	7.0491056	-34.221424	148000	-3.3378602e-09	240.79636	-0.013192271	-53.50154	0.80891675	0.017426888	0.22725	7.0	156.32270097732544
37	-28.635885	58.37748	69.06468	-323.44348	91.30556	-20.248703	11.787884	14.635936	-35.75795	152000	7.450581e-09	261.3837	-0.012997346	-57.53595	0.8072377	0.016137885	0.204	8.0	160.00702810287476
38	-22.234516	74.92808	46.002266	-376.73215	112.77143	-18.124426	11.235905	15.5994005	-34.252605	156000	1.4305115e-09	221.50153	-0.014101297	-65.939285	0.8049317	0.017846925	0.24425	7.0	164.40570211410522
39	-38.56785	92.606735	33.06914	-366.96042	156.30435	-15.7281885	11.984847	17.354229	-33.02957	160000	-4.9471853e-09	273.86038	-0.012872417	-100.06847	0.80270106	0.016169002	0.223	6.0	168.62115287780762
