Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	267.34122	101.413216	524.4654	44.98154	180.86363	82.50501	15.498964	85.70288	-19.70723	116000	9.775162e-09	1123.8279	-0.038754392	-122.56549	0.84878767	0.010960262	0.21125	79.0	93.14652109146118
29	271.0465	41.26165	356.09552	200.9445	169.43478	86.71396	2.6865735	87.17453	31.978685	120000	8.9406965e-10	1070.6382	-0.036148	-45.54602	0.84947234	0.015142625	0.19825	56.0	95.75610733032227
30	257.79373	63.037067	408.62302	99.540215	163.20833	86.44307	13.338718	88.44443	-18.553728	124000	-2.1487475e-08	1161.7454	-0.011882713	-96.75769	0.841473	0.015266388	0.20625	9.0	98.21773934364319
31	275.02307	80.76202	514.7507	176.72577	184.09525	88.27769	8.878417	89.499825	-10.50361	128000	3.8146974e-09	1027.075	-0.012557396	-122.09473	0.84121734	0.0152920075	0.22975	9.0	100.6253776550293
32	280.2235	61.09608	395.13272	189.33409	173.56522	90.233345	0.023997342	90.23521	89.15942	132000	-2.5749207e-08	1078.2404	-0.037661843	-17.821533	0.8392032	0.015027054	0.21125	44.0	103.24720668792725
33	289.80835	107.19469	588.4366	44.16789	202.3158	88.59393	15.785253	91.480034	-15.3563	136000	-1.6450882e-08	1163.8948	-0.039237417	-268.625	0.8401986	0.013581316	0.23575	79.0	106.04935836791992
34	301.61972	73.001366	499.8728	219.22401	188.5238	92.65704	1.4574475	92.8164	44.720512	140000	1.704693e-08	1053.4271	-0.014038053	-28.610962	0.8375387	0.015712492	0.209	9.0	108.47367858886719
35	329.1734	89.887596	574.94543	181.13715	224.70589	91.82811	14.713689	94.20068	-17.18263	144000	-1.6033649e-08	1008.75134	-0.0138452705	-66.04474	0.8370239	0.01578354	0.21525	10.0	110.93699789047241
36	306.02087	169.10994	892.9423	45.416252	219.05556	91.47279	19.069738	95.7305	-14.438414	148000	-5.9604646e-09	900.71014	-0.038969964	-40.463806	0.83639234	0.015041812	0.20425	64.0	113.9389317035675
37	312.37955	96.974625	584.06165	200.52148	204.57895	95.5307	3.9535398	95.950005	-4.257283	152000	1.4781952e-08	948.46136	-0.03846532	-24.802612	0.83663654	0.015025972	0.19375	69.0	117.07493686676025
38	596.2848	360.72897	1114.8817	210.44606	497.875	96.29416	1.8139532	96.40927	29.23882	156000	-1.1324882e-09	407.25986	-0.037649892	-12.865509	0.8436598	0.011258618	0.21825	79.0	120.18207550048828
39	315.23764	126.78191	650.6511	95.94369	231.05882	92.93116	20.229359	97.30863	-21.211773	160000	-3.4570693e-09	978.64264	-0.04088852	-206.49536	0.8395481	0.0117792385	0.2355	79.0	123.40745687484741
40	379.2719	237.52635	980.04156	55.71956	305.3846	89.11603	25.597654	97.66849	-17.079735	164000	-1.7166137e-08	689.26715	-0.012236683	-68.06372	0.8353839	0.01594083	0.1735	7.0	125.84053683280945
41	559.7672	314.3599	1001.5838	111.510796	486.0	95.28686	16.388504	98.48479	-30.544153	168000	8.5830685e-09	490.8124	-0.03884842	-39.583252	0.83577263	0.012926657	0.1985	79.0	128.6934778690338
42	335.97842	103.37426	518.7911	68.381516	233.06667	93.130684	19.8597	99.23718	-16.618673	172000	-6.7949295e-09	843.4422	-0.011557422	-113.41992	0.83345383	0.016735477	0.20525	7.0	131.1326928138733
43	298.95026	108.660805	550.2424	27.91986	200.89473	93.8029	23.186508	99.83289	-77.40963	176000	-3.5762786e-09	940.2094	-0.03460213	-55.368225	0.8334096	0.015013739	0.20025	40.0	133.80151557922363
44	357.32373	195.33067	1089.6509	200.336	241.5	99.74312	5.7434974	100.59045	7.5986156	180000	1.168251e-08	846.4211	-0.014185577	-53.996704	0.83630955	0.016220307	0.195	8.0	136.25264739990234
45	275.91107	94.099915	435.03732	64.81015	194.65	92.78264	26.910105	101.12297	-16.136295	184000	5.662441e-09	1151.5088	-0.043484293	-315.82904	0.8355746	0.013711263	0.22125	79.0	139.4066092967987
46	371.00833	205.1355	1035.7659	212.67163	258.73334	98.989265	9.224659	101.36172	3.594	188000	4.6491624e-09	764.2236	-0.013843217	-439.6904	0.83941007	0.015043115	0.2505	10.0	142.1850357055664
47	302.7154	52.09706	435.02045	224.71204	181.0	92.718544	17.727985	102.16724	35.28404	192000	2.3841858e-08	478.68845	-0.039594352	-176.8515	0.83849096	0.010518093	0.2225	79.0	145.20220112800598
48	376.29346	128.7269	734.60205	188.26343	257.73334	97.1125	19.639187	105.10502	28.276127	196000	-2.2649764e-09	237.7083	-0.03469567	-42.857834	0.8349313	0.01511811	0.19475	45.0	147.85182929039001
49	287.24747	92.58632	418.93268	46.282734	201.63158	91.54425	30.327843	106.96702	-16.117165	200000	-1.6868114e-08	706.88055	-0.035332464	-328.79523	0.83148134	0.01512288	0.207	61.0	150.48685383796692
50	321.82874	81.21354	527.85187	254.43044	200.1579	97.14903	23.197186	108.407616	28.728302	204000	7.1525574e-10	190.26965	-0.041463975	-45.920547	0.82924235	0.014998709	0.24925	79.0	153.21044754981995
51	291.74344	60.683506	425.89093	136.89989	180.45454	92.3739	31.66134	110.4479	-19.647844	208000	-4.529953e-09	218.30215	-0.036021832	-58.169495	0.81977105	0.015055679	0.213	61.0	155.83519220352173
52	309.18	96.801674	560.96075	67.77375	203.94737	95.98599	30.083265	112.47271	-16.127438	212000	-6.437302e-09	266.1352	-0.03408733	-64.83803	0.8227352	0.015350453	0.22075	39.0	158.4237928390503
53	338.7952	117.27966	722.61816	152.31	224.94118	98.36974	29.09316	113.485214	-16.062614	216000	2.384186e-10	186.94714	-0.040813748	-60.705963	0.82034993	0.012761248	0.229	79.0	161.189138174057
54	311.9244	102.54083	619.839	86.363434	204.42105	95.579315	32.279697	114.607574	-16.149324	220000	-4.768372e-10	282.59683	-0.0107387295	-86.00589	0.8132472	0.015290675	0.1645	8.0	163.9240005016327
55	372.68524	152.02293	832.26715	254.05391	249.07143	104.66797	22.851278	115.33296	22.78727	224000	2.3841857e-09	197.35365	-0.009109466	-13.972534	0.8130086	0.01596956	0.205	7.0	166.34577059745789
56	312.16403	93.826996	605.45154	212.64514	197.3	100.40796	26.081303	115.27194	22.57144	228000	1.07288365e-08	151.14813	-0.04000565	-38.62252	0.8114214	0.0150710875	0.216	76.0	169.4430854320526
57	318.7385	87.95934	476.04593	137.53654	217.5	99.88488	29.439436	115.497345	-15.01715	232000	9.536743e-09	223.10942	-0.042290907	-57.30037	0.7998604	0.011389604	0.25	79.0	172.32748937606812
58	278.0559	70.02338	395.1327	6.4418106	168.95653	96.127785	30.969475	115.34977	-15.749404	236000	-1.2338162e-08	183.69405	-0.034420896	-58.95484	0.80489975	0.015176136	0.19775	37.0	175.65725231170654
59	294.58548	87.53292	458.85168	59.384144	189.33333	98.42402	30.669127	116.32978	-15.851493	240000	3.3378602e-09	225.04526	-0.013790198	-47.02202	0.7982278	0.017171374	0.2365	8.0	178.06501698493958
60	277.76578	58.05586	384.01947	111.95478	167.43478	96.06104	32.611195	116.436714	-15.725303	244000	-1.3113022e-09	145.23376	-0.011024304	-56.330246	0.7961208	0.015677063	0.249	9.0	180.49687314033508
61	298.42917	53.49338	435.26712	235.70018	175.59091	99.116005	28.790049	117.40591	22.33801	248000	7.2717667e-09	94.20387	-0.011492671	-32.843975	0.7944587	0.015122293	0.19425	8.0	183.67812776565552
62	309.3191	61.191544	541.2047	242.66179	188.5238	103.34509	27.94099	118.47495	22.605825	252000	6.556511e-09	86.99378	-0.008737112	-8.479256	0.79411244	0.016970584	0.1945	7.0	186.42166137695312
63	333.87393	91.305145	516.5732	173.93973	220.22223	103.483925	29.029854	118.753914	-8.433861	256000	-1.1444092e-08	169.94493	-0.036599625	-102.76653	0.7940036	0.0116721215	0.19625	79.0	189.2900149822235
